2025-12-22 07:32:29 | INFO     | AI_Doc_Analyzer:setup_logging:148 | AI Document Analyzer - Logging initialized
2025-12-22 07:32:29 | INFO     | AI_Doc_Analyzer:setup_logging:149 | Log level: DEBUG
2025-12-22 07:32:29 | INFO     | AI_Doc_Analyzer:setup_logging:150 | Log file: C:\Users\bogda\DebogAutomations\Clients\RobertKaplan\AI_Doc_Analyzer\logs\app.log
2025-12-22 07:32:29 | INFO     | AI_Doc_Analyzer:setup_logging:151 | ============================================================
2025-12-22 07:34:19 | INFO     | AI_Doc_Analyzer:setup_logging:147 | ============================================================
2025-12-22 07:34:19 | INFO     | AI_Doc_Analyzer:setup_logging:148 | AI Document Analyzer - Logging initialized
2025-12-22 07:34:19 | INFO     | AI_Doc_Analyzer:setup_logging:149 | Log level: DEBUG
2025-12-22 07:34:19 | INFO     | AI_Doc_Analyzer:setup_logging:150 | Log file: C:\Users\bogda\DebogAutomations\Clients\RobertKaplan\AI_Doc_Analyzer\logs\app.log
2025-12-22 07:34:19 | INFO     | AI_Doc_Analyzer:setup_logging:151 | ============================================================
2025-12-22 07:34:28 | INFO     | AI_Doc_Analyzer.services.ai_extractor:extract:71 | Extracting with universal schema...
2025-12-22 07:38:18 | INFO     | AI_Doc_Analyzer:setup_logging:147 | ============================================================
2025-12-22 07:38:18 | INFO     | AI_Doc_Analyzer:setup_logging:148 | AI Document Analyzer - Logging initialized
2025-12-22 07:38:18 | INFO     | AI_Doc_Analyzer:setup_logging:149 | Log level: DEBUG
2025-12-22 07:38:18 | INFO     | AI_Doc_Analyzer:setup_logging:150 | Log file: c:\Users\bogda\DebogAutomations\Clients\RobertKaplan\AI_Doc_Analyzer\logs\app.log
2025-12-22 07:38:18 | INFO     | AI_Doc_Analyzer:setup_logging:151 | ============================================================
2025-12-22 07:38:27 | INFO     | AI_Doc_Analyzer.__main__:main:33 | Starting AI Document Analyzer application
2025-12-22 07:38:27 | DEBUG    | AI_Doc_Analyzer.__main__:main:45 | QApplication created successfully
2025-12-22 07:38:27 | DEBUG    | AI_Doc_Analyzer.__main__:main:52 | Creating main window
2025-12-22 07:38:28 | INFO     | AI_Doc_Analyzer.__main__:main:55 | Main window displayed
2025-12-22 07:38:28 | INFO     | AI_Doc_Analyzer.__main__:main:58 | Entering application event loop
2025-12-22 07:38:38 | INFO     | AI_Doc_Analyzer.connectors.box_connector:connect:74 | Box connection established successfully
2025-12-22 07:38:38 | DEBUG    | AI_Doc_Analyzer.connectors.box_connector:list_folders:120 | Listed 0 folders in path: /
